[pilot1] === continuing pilot 1 from step 100 to 7600 ===
[pilot1] pilot 1 step    100  loss=0.8336  val_acc={1: 1.0, 2: 1.0, 3: 0.992}
[pilot1] pilot 1 step    200  loss=1.0343  val_acc={1: 1.0, 2: 1.0, 3: 1.0}
[pilot1] pilot 1 step    300  loss=1.3985  val_acc={1: 1.0, 2: 0.992, 3: 1.0}
[pilot1] pilot 1 step    400  loss=0.7370  val_acc={1: 1.0, 2: 0.953, 3: 0.961}
[pilot1] pilot 1 step    500  loss=0.8861  val_acc={1: 1.0, 2: 0.891, 3: 0.805}
[pilot1] pilot 1 step    600  loss=1.0526  val_acc={1: 1.0, 2: 0.836, 3: 0.789}
[pilot1] pilot 1 step    700  loss=0.6908  val_acc={1: 1.0, 2: 0.742, 3: 0.742}
[pilot1] pilot 1 step    800  loss=0.8231  val_acc={1: 1.0, 2: 0.703, 3: 0.734}
[pilot1] pilot 1 step    900  loss=0.9331  val_acc={1: 1.0, 2: 0.719, 3: 0.711}
[pilot1] pilot 1 step   1000  loss=0.6730  val_acc={1: 1.0, 2: 0.688, 3: 0.688}
[pilot1] pilot 1 step   1100  loss=0.7869  val_acc={1: 1.0, 2: 0.641, 3: 0.586}
[pilot1] pilot 1 step   1200  loss=0.8684  val_acc={1: 1.0, 2: 0.656, 3: 0.656}
[pilot1] pilot 1 step   1300  loss=0.6835  val_acc={1: 1.0, 2: 0.688, 3: 0.609}
[pilot1] pilot 1 step   1400  loss=0.7705  val_acc={1: 1.0, 2: 0.695, 3: 0.617}
[pilot1] pilot 1 step   1500  loss=0.8462  val_acc={1: 1.0, 2: 0.656, 3: 0.547}
[pilot1] pilot 1 step   1600  loss=0.6728  val_acc={1: 1.0, 2: 0.766, 3: 0.57}
[pilot1] pilot 1 step   1700  loss=0.7731  val_acc={1: 1.0, 2: 0.711, 3: 0.617}
[pilot1] pilot 1 step   1800  loss=0.8336  val_acc={1: 1.0, 2: 0.727, 3: 0.57}
[pilot1] pilot 1 step   1900  loss=0.6733  val_acc={1: 1.0, 2: 0.695, 3: 0.602}
[pilot1] pilot 1 step   2000  loss=0.7621  val_acc={1: 1.0, 2: 0.719, 3: 0.57}
[pilot1] pilot 1 step   2100  loss=0.8039  val_acc={1: 1.0, 2: 0.734, 3: 0.555}
[pilot1] pilot 1 step   2200  loss=0.6710  val_acc={1: 1.0, 2: 0.773, 3: 0.617}
[pilot1] pilot 1 step   2300  loss=0.7554  val_acc={1: 1.0, 2: 0.727, 3: 0.625}
[pilot1] pilot 1 step   2400  loss=0.8039  val_acc={1: 1.0, 2: 0.758, 3: 0.594}
[pilot1] pilot 1 step   2500  loss=0.6669  val_acc={1: 1.0, 2: 0.711, 3: 0.578}
[pilot1] pilot 1 step   2600  loss=0.7544  val_acc={1: 1.0, 2: 0.734, 3: 0.664}
[pilot1] pilot 1 step   2700  loss=0.8004  val_acc={1: 1.0, 2: 0.734, 3: 0.57}
[pilot1] pilot 1 step   2800  loss=0.6667  val_acc={1: 1.0, 2: 0.711, 3: 0.656}
[pilot1] pilot 1 step   2900  loss=0.7494  val_acc={1: 1.0, 2: 0.75, 3: 0.594}
[pilot1] pilot 1 step   3000  loss=0.7851  val_acc={1: 1.0, 2: 0.75, 3: 0.672}
[pilot1] pilot 1 step   3100  loss=0.6661  val_acc={1: 1.0, 2: 0.75, 3: 0.672}
[pilot1] pilot 1 step   3200  loss=0.7558  val_acc={1: 1.0, 2: 0.766, 3: 0.625}
[pilot1] pilot 1 step   3300  loss=0.7917  val_acc={1: 1.0, 2: 0.75, 3: 0.648}
[pilot1] pilot 1 step   3400  loss=0.6657  val_acc={1: 1.0, 2: 0.773, 3: 0.57}
[pilot1] pilot 1 step   3500  loss=0.7503  val_acc={1: 1.0, 2: 0.734, 3: 0.656}
[pilot1] pilot 1 step   3600  loss=0.7892  val_acc={1: 1.0, 2: 0.719, 3: 0.672}
[pilot1] pilot 1 step   3700  loss=0.6683  val_acc={1: 1.0, 2: 0.812, 3: 0.719}
[pilot1] pilot 1 step   3800  loss=0.7604  val_acc={1: 1.0, 2: 0.805, 3: 0.734}
[pilot1] pilot 1 step   3900  loss=0.7910  val_acc={1: 1.0, 2: 0.734, 3: 0.766}
[pilot1] pilot 1 step   4000  loss=0.6571  val_acc={1: 1.0, 2: 0.75, 3: 0.789}
[pilot1] pilot 1 step   4100  loss=0.7643  val_acc={1: 1.0, 2: 0.797, 3: 0.75}
[pilot1] pilot 1 step   4200  loss=0.7837  val_acc={1: 1.0, 2: 0.742, 3: 0.734}
[pilot1] pilot 1 step   4300  loss=0.6498  val_acc={1: 1.0, 2: 0.766, 3: 0.758}
[pilot1] pilot 1 step   4400  loss=0.7649  val_acc={1: 1.0, 2: 0.82, 3: 0.789}
[pilot1] pilot 1 step   4500  loss=0.7868  val_acc={1: 1.0, 2: 0.836, 3: 0.797}
[pilot1] pilot 1 step   4600  loss=0.6552  val_acc={1: 1.0, 2: 0.797, 3: 0.75}
[pilot1] pilot 1 step   4700  loss=0.7414  val_acc={1: 1.0, 2: 0.859, 3: 0.781}
[pilot1] pilot 1 step   4800  loss=0.7787  val_acc={1: 1.0, 2: 0.812, 3: 0.797}
[pilot1] pilot 1 step   4900  loss=0.6620  val_acc={1: 1.0, 2: 0.828, 3: 0.75}
[pilot1] pilot 1 step   5000  loss=0.7608  val_acc={1: 1.0, 2: 0.758, 3: 0.789}
[pilot1] pilot 1 step   5100  loss=0.7760  val_acc={1: 1.0, 2: 0.812, 3: 0.781}
[pilot1] pilot 1 step   5200  loss=0.6611  val_acc={1: 1.0, 2: 0.766, 3: 0.852}
[pilot1] pilot 1 step   5300  loss=0.7513  val_acc={1: 1.0, 2: 0.82, 3: 0.891}
[pilot1] pilot 1 step   5400  loss=0.7834  val_acc={1: 1.0, 2: 0.836, 3: 0.805}
[pilot1] pilot 1 step   5500  loss=0.6584  val_acc={1: 1.0, 2: 0.828, 3: 0.812}
[pilot1] pilot 1 step   5600  loss=0.7599  val_acc={1: 1.0, 2: 0.82, 3: 0.836}
[pilot1] pilot 1 step   5700  loss=0.7891  val_acc={1: 1.0, 2: 0.852, 3: 0.852}
[pilot1] pilot 1 step   5800  loss=0.6607  val_acc={1: 1.0, 2: 0.844, 3: 0.852}
[pilot1] pilot 1 step   5900  loss=0.7435  val_acc={1: 1.0, 2: 0.797, 3: 0.852}
[pilot1] pilot 1 step   6000  loss=0.7819  val_acc={1: 1.0, 2: 0.844, 3: 0.844}
[pilot1] pilot 1 step   6100  loss=0.6626  val_acc={1: 1.0, 2: 0.891, 3: 0.867}
[pilot1] pilot 1 step   6200  loss=0.7399  val_acc={1: 1.0, 2: 0.867, 3: 0.852}
[pilot1] pilot 1 step   6300  loss=0.7765  val_acc={1: 1.0, 2: 0.891, 3: 0.859}
[pilot1] pilot 1 step   6400  loss=0.6677  val_acc={1: 1.0, 2: 0.883, 3: 0.875}
[pilot1] pilot 1 step   6500  loss=0.7449  val_acc={1: 1.0, 2: 0.891, 3: 0.891}
[pilot1] pilot 1 step   6600  loss=0.7736  val_acc={1: 1.0, 2: 0.898, 3: 0.914}
[pilot1] pilot 1 step   6700  loss=0.6620  val_acc={1: 1.0, 2: 0.883, 3: 0.898}
[pilot1] pilot 1 step   6800  loss=0.7546  val_acc={1: 1.0, 2: 0.898, 3: 0.859}
[pilot1] pilot 1 step   6900  loss=0.7752  val_acc={1: 1.0, 2: 0.828, 3: 0.906}
[pilot1] pilot 1 step   7000  loss=0.6551  val_acc={1: 1.0, 2: 0.852, 3: 0.938}
[pilot1] pilot 1 step   7100  loss=0.7354  val_acc={1: 1.0, 2: 0.883, 3: 0.891}
[pilot1] pilot 1 step   7200  loss=0.7756  val_acc={1: 1.0, 2: 0.898, 3: 0.875}
[pilot1] pilot 1 step   7300  loss=0.6592  val_acc={1: 1.0, 2: 0.938, 3: 0.883}
[pilot1] pilot 1 step   7400  loss=0.7585  val_acc={1: 1.0, 2: 0.906, 3: 0.938}
[pilot1] pilot 1 step   7500  loss=0.7690  val_acc={1: 1.0, 2: 0.914, 3: 0.922}
[pilot1] pilot 1 step   7599  loss=0.7798  val_acc={1: 1.0, 2: 0.93, 3: 0.953}
[pilot1] pilot 1 @ 7600 steps: causal_PR=30.776  query_PR=33.982
RESULT pilot=1 causal_PR=30.7755 query_PR=33.9821
