device=cuda  rank-bottleneck throwaway pilot, rank=36
=== pilot 99 start, rank=36, params=67112, cosine LR 0.003->3e-05 over 30000 steps, no early stopping ===
pilot 99 step      0  lr=3.00e-03  loss=7.0888  val_acc={1: 0.094, 2: 0.0, 3: 0.008}  elapsed=4s  
pilot 99 step    100  lr=3.00e-03  loss=1.4599  val_acc={1: 1.0, 2: 1.0, 3: 0.945}  elapsed=28s  
pilot 99 step    200  lr=3.00e-03  loss=1.7579  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=54s  PASS
pilot 99 step    300  lr=3.00e-03  loss=0.8245  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=84s  PASS
pilot 99 step    400  lr=3.00e-03  loss=0.9943  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=112s  PASS
pilot 99 step    500  lr=3.00e-03  loss=1.2443  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=141s  PASS
pilot 99 step    600  lr=3.00e-03  loss=0.7794  val_acc={1: 1.0, 2: 0.977, 3: 0.977}  elapsed=168s  PASS
pilot 99 step    700  lr=3.00e-03  loss=0.8935  val_acc={1: 1.0, 2: 0.922, 3: 0.93}  elapsed=197s  
pilot 99 step    800  lr=2.99e-03  loss=1.0366  val_acc={1: 1.0, 2: 0.781, 3: 0.828}  elapsed=224s  
pilot 99 step    900  lr=2.99e-03  loss=0.7348  val_acc={1: 1.0, 2: 0.836, 3: 0.82}  elapsed=252s  
pilot 99 step   1000  lr=2.99e-03  loss=0.8505  val_acc={1: 1.0, 2: 0.781, 3: 0.797}  elapsed=280s  
pilot 99 step   1100  lr=2.99e-03  loss=0.9467  val_acc={1: 1.0, 2: 0.836, 3: 0.773}  elapsed=308s  
pilot 99 step   1200  lr=2.99e-03  loss=0.7444  val_acc={1: 1.0, 2: 0.883, 3: 0.781}  elapsed=335s  
pilot 99 step   1300  lr=2.99e-03  loss=0.8394  val_acc={1: 1.0, 2: 0.812, 3: 0.766}  elapsed=362s  
pilot 99 step   1400  lr=2.98e-03  loss=0.9155  val_acc={1: 1.0, 2: 0.852, 3: 0.734}  elapsed=390s  
pilot 99 step   1500  lr=2.98e-03  loss=0.7202  val_acc={1: 1.0, 2: 0.852, 3: 0.758}  elapsed=417s  
pilot 99 step   1600  lr=2.98e-03  loss=0.8351  val_acc={1: 1.0, 2: 0.898, 3: 0.688}  elapsed=445s  
pilot 99 step   1700  lr=2.98e-03  loss=0.9015  val_acc={1: 1.0, 2: 0.828, 3: 0.742}  elapsed=472s  
pilot 99 step   1800  lr=2.97e-03  loss=0.7282  val_acc={1: 1.0, 2: 0.891, 3: 0.734}  elapsed=499s  
pilot 99 step   1900  lr=2.97e-03  loss=0.8305  val_acc={1: 1.0, 2: 0.898, 3: 0.75}  elapsed=527s  
pilot 99 step   2000  lr=2.97e-03  loss=0.8890  val_acc={1: 1.0, 2: 0.836, 3: 0.711}  elapsed=555s  
pilot 99 step   2100  lr=2.96e-03  loss=0.7263  val_acc={1: 1.0, 2: 0.898, 3: 0.711}  elapsed=584s  
pilot 99 step   2200  lr=2.96e-03  loss=0.8217  val_acc={1: 1.0, 2: 0.914, 3: 0.758}  elapsed=611s  
pilot 99 step   2300  lr=2.96e-03  loss=0.8676  val_acc={1: 1.0, 2: 0.859, 3: 0.688}  elapsed=638s  
pilot 99 step   2400  lr=2.95e-03  loss=0.7315  val_acc={1: 1.0, 2: 0.914, 3: 0.781}  elapsed=665s  
pilot 99 step   2500  lr=2.95e-03  loss=0.8228  val_acc={1: 1.0, 2: 0.867, 3: 0.742}  elapsed=693s  
pilot 99 step   2600  lr=2.95e-03  loss=0.8702  val_acc={1: 1.0, 2: 0.898, 3: 0.766}  elapsed=721s  
pilot 99 step   2700  lr=2.94e-03  loss=0.7197  val_acc={1: 1.0, 2: 0.922, 3: 0.766}  elapsed=749s  
pilot 99 step   2800  lr=2.94e-03  loss=0.8247  val_acc={1: 1.0, 2: 0.891, 3: 0.766}  elapsed=779s  
pilot 99 step   2900  lr=2.93e-03  loss=0.8593  val_acc={1: 1.0, 2: 0.883, 3: 0.742}  elapsed=807s  
pilot 99 step   3000  lr=2.93e-03  loss=0.7146  val_acc={1: 1.0, 2: 0.945, 3: 0.773}  elapsed=835s  
pilot 99 step   3100  lr=2.92e-03  loss=0.8174  val_acc={1: 1.0, 2: 0.914, 3: 0.805}  elapsed=861s  
pilot 99 step   3200  lr=2.92e-03  loss=0.8621  val_acc={1: 1.0, 2: 0.914, 3: 0.719}  elapsed=888s  
pilot 99 step   3300  lr=2.91e-03  loss=0.7154  val_acc={1: 1.0, 2: 0.93, 3: 0.812}  elapsed=916s  
pilot 99 step   3400  lr=2.91e-03  loss=0.8240  val_acc={1: 1.0, 2: 0.953, 3: 0.781}  elapsed=943s  
pilot 99 step   3500  lr=2.90e-03  loss=0.8631  val_acc={1: 1.0, 2: 0.93, 3: 0.773}  elapsed=971s  
pilot 99 step   3600  lr=2.90e-03  loss=0.7251  val_acc={1: 1.0, 2: 0.93, 3: 0.844}  elapsed=998s  
pilot 99 step   3700  lr=2.89e-03  loss=0.8145  val_acc={1: 1.0, 2: 0.977, 3: 0.805}  elapsed=1026s  
pilot 99 step   3800  lr=2.88e-03  loss=0.8527  val_acc={1: 1.0, 2: 0.945, 3: 0.836}  elapsed=1053s  
pilot 99 step   3900  lr=2.88e-03  loss=0.7231  val_acc={1: 1.0, 2: 0.922, 3: 0.781}  elapsed=1081s  
pilot 99 step   4000  lr=2.87e-03  loss=0.8164  val_acc={1: 1.0, 2: 0.969, 3: 0.789}  elapsed=1107s  
pilot 99 step   4100  lr=2.87e-03  loss=0.8464  val_acc={1: 1.0, 2: 0.969, 3: 0.812}  elapsed=1136s  
pilot 99 step   4200  lr=2.86e-03  loss=0.7210  val_acc={1: 1.0, 2: 0.969, 3: 0.82}  elapsed=1166s  
pilot 99 step   4300  lr=2.85e-03  loss=0.8070  val_acc={1: 1.0, 2: 0.953, 3: 0.797}  elapsed=1194s  
pilot 99 step   4400  lr=2.85e-03  loss=0.8519  val_acc={1: 1.0, 2: 0.922, 3: 0.859}  elapsed=1222s  
pilot 99 step   4500  lr=2.84e-03  loss=0.7163  val_acc={1: 1.0, 2: 0.961, 3: 0.898}  elapsed=1250s  
pilot 99 step   4600  lr=2.83e-03  loss=0.8052  val_acc={1: 1.0, 2: 0.984, 3: 0.844}  elapsed=1277s  
pilot 99 step   4700  lr=2.82e-03  loss=0.8478  val_acc={1: 1.0, 2: 0.969, 3: 0.875}  elapsed=1304s  
pilot 99 step   4800  lr=2.82e-03  loss=0.7210  val_acc={1: 1.0, 2: 0.977, 3: 0.875}  elapsed=1332s  
pilot 99 step   4900  lr=2.81e-03  loss=0.8212  val_acc={1: 1.0, 2: 0.984, 3: 0.891}  elapsed=1359s  
pilot 99 step   5000  lr=2.80e-03  loss=0.8439  val_acc={1: 1.0, 2: 0.938, 3: 0.812}  elapsed=1386s  
pilot 99 step   5100  lr=2.79e-03  loss=0.7198  val_acc={1: 1.0, 2: 0.992, 3: 0.867}  elapsed=1414s  
pilot 99 step   5200  lr=2.79e-03  loss=0.8212  val_acc={1: 1.0, 2: 1.0, 3: 0.898}  elapsed=1441s  
pilot 99 step   5300  lr=2.78e-03  loss=0.8446  val_acc={1: 1.0, 2: 0.984, 3: 0.93}  elapsed=1469s  
pilot 99 step   5400  lr=2.77e-03  loss=0.7157  val_acc={1: 1.0, 2: 0.992, 3: 0.93}  elapsed=1495s  
pilot 99 step   5500  lr=2.76e-03  loss=0.8192  val_acc={1: 1.0, 2: 0.992, 3: 0.922}  elapsed=1523s  
pilot 99 step   5600  lr=2.75e-03  loss=0.8398  val_acc={1: 1.0, 2: 0.945, 3: 0.852}  elapsed=1551s  
pilot 99 step   5700  lr=2.74e-03  loss=0.7279  val_acc={1: 1.0, 2: 1.0, 3: 0.906}  elapsed=1579s  
pilot 99 step   5800  lr=2.73e-03  loss=0.8102  val_acc={1: 1.0, 2: 0.977, 3: 0.914}  elapsed=1606s  
pilot 99 step   5900  lr=2.73e-03  loss=0.8391  val_acc={1: 1.0, 2: 0.969, 3: 0.938}  elapsed=1634s  
pilot 99 step   6000  lr=2.72e-03  loss=0.7207  val_acc={1: 1.0, 2: 1.0, 3: 0.961}  elapsed=1660s  PASS
pilot 99 step   6100  lr=2.71e-03  loss=0.8088  val_acc={1: 1.0, 2: 1.0, 3: 0.953}  elapsed=1687s  PASS
pilot 99 step   6200  lr=2.70e-03  loss=0.8428  val_acc={1: 1.0, 2: 1.0, 3: 0.969}  elapsed=1715s  PASS
pilot 99 step   6300  lr=2.69e-03  loss=0.7145  val_acc={1: 1.0, 2: 0.984, 3: 0.953}  elapsed=1743s  PASS
pilot 99 step   6400  lr=2.68e-03  loss=0.8176  val_acc={1: 1.0, 2: 0.984, 3: 0.953}  elapsed=1771s  PASS
pilot 99 step   6500  lr=2.67e-03  loss=0.8311  val_acc={1: 1.0, 2: 0.969, 3: 0.945}  elapsed=1798s  
pilot 99 step   6600  lr=2.66e-03  loss=0.7343  val_acc={1: 1.0, 2: 1.0, 3: 0.961}  elapsed=1833s  PASS
pilot 99 step   6700  lr=2.65e-03  loss=0.8127  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=1863s  PASS
pilot 99 step   6800  lr=2.64e-03  loss=0.8334  val_acc={1: 1.0, 2: 1.0, 3: 0.961}  elapsed=1891s  PASS
pilot 99 step   6900  lr=2.63e-03  loss=0.7169  val_acc={1: 1.0, 2: 1.0, 3: 0.969}  elapsed=1919s  PASS
pilot 99 step   7000  lr=2.62e-03  loss=0.8095  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=1955s  PASS
pilot 99 step   7100  lr=2.61e-03  loss=0.8416  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=1982s  PASS
pilot 99 step   7200  lr=2.60e-03  loss=0.7092  val_acc={1: 1.0, 2: 0.984, 3: 0.961}  elapsed=2010s  PASS
pilot 99 step   7300  lr=2.59e-03  loss=0.8047  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=2037s  PASS
pilot 99 step   7400  lr=2.58e-03  loss=0.8344  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=2064s  PASS
pilot 99 step   7500  lr=2.57e-03  loss=0.7118  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=2092s  PASS
pilot 99 step   7600  lr=2.55e-03  loss=0.8108  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=2120s  PASS
pilot 99 step   7700  lr=2.54e-03  loss=0.8380  val_acc={1: 1.0, 2: 0.977, 3: 0.977}  elapsed=2146s  PASS
pilot 99 step   7800  lr=2.53e-03  loss=0.7204  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2173s  PASS
pilot 99 step   7900  lr=2.52e-03  loss=0.8101  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=2201s  PASS
pilot 99 step   8000  lr=2.51e-03  loss=0.8384  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=2228s  PASS
pilot 99 step   8100  lr=2.50e-03  loss=0.7258  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2255s  PASS
pilot 99 step   8200  lr=2.49e-03  loss=0.8195  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2282s  PASS
pilot 99 step   8300  lr=2.47e-03  loss=0.8327  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=2309s  PASS
pilot 99 step   8400  lr=2.46e-03  loss=0.7163  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2336s  PASS
pilot 99 step   8500  lr=2.45e-03  loss=0.8060  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2363s  PASS
pilot 99 step   8600  lr=2.44e-03  loss=0.8371  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=2390s  PASS
pilot 99 step   8700  lr=2.43e-03  loss=0.7136  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2418s  PASS
pilot 99 step   8800  lr=2.41e-03  loss=0.8074  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2445s  PASS
pilot 99 step   8900  lr=2.40e-03  loss=0.8412  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=2472s  PASS
pilot 99 step   9000  lr=2.39e-03  loss=0.7172  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2499s  PASS
pilot 99 step   9100  lr=2.38e-03  loss=0.8129  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2527s  PASS
pilot 99 step   9200  lr=2.36e-03  loss=0.8398  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2554s  PASS
pilot 99 step   9300  lr=2.35e-03  loss=0.7103  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2581s  PASS
pilot 99 step   9400  lr=2.34e-03  loss=0.7982  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2609s  PASS
pilot 99 step   9500  lr=2.32e-03  loss=0.8507  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=2636s  PASS
pilot 99 step   9600  lr=2.31e-03  loss=0.7119  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2663s  PASS
pilot 99 step   9700  lr=2.30e-03  loss=0.8068  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2690s  PASS
pilot 99 step   9800  lr=2.28e-03  loss=0.8381  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2717s  PASS
pilot 99 step   9900  lr=2.27e-03  loss=0.7063  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=2745s  PASS
pilot 99 step  10000  lr=2.26e-03  loss=0.8071  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2772s  PASS
pilot 99 step  10100  lr=2.24e-03  loss=0.8265  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=2800s  PASS
pilot 99 step  10200  lr=2.23e-03  loss=0.7224  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=2827s  PASS
pilot 99 step  10300  lr=2.22e-03  loss=0.8017  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2855s  PASS
pilot 99 step  10400  lr=2.20e-03  loss=0.8336  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=2882s  PASS
pilot 99 step  10500  lr=2.19e-03  loss=0.7112  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=2910s  PASS
pilot 99 step  10600  lr=2.18e-03  loss=0.7987  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=2937s  PASS
pilot 99 step  10700  lr=2.16e-03  loss=0.8349  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2964s  PASS
pilot 99 step  10800  lr=2.15e-03  loss=0.7210  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=2992s  PASS
pilot 99 step  10900  lr=2.13e-03  loss=0.8033  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=3019s  PASS
pilot 99 step  11000  lr=2.12e-03  loss=0.8379  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=3047s  PASS
pilot 99 step  11100  lr=2.10e-03  loss=0.7180  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=3074s  PASS
pilot 99 step  11200  lr=2.09e-03  loss=0.7962  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=3101s  PASS
pilot 99 step  11300  lr=2.08e-03  loss=0.8274  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=3128s  PASS
pilot 99 step  11400  lr=2.06e-03  loss=0.7151  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=3155s  PASS
pilot 99 step  11500  lr=2.05e-03  loss=0.8058  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=3183s  PASS
pilot 99 step  11600  lr=2.03e-03  loss=0.8271  val_acc={1: 1.0, 2: 0.984, 3: 0.961}  elapsed=3210s  PASS
pilot 99 step  11700  lr=2.02e-03  loss=0.7281  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=3238s  PASS
pilot 99 step  11800  lr=2.00e-03  loss=0.8081  val_acc={1: 1.0, 2: 0.984, 3: 0.977}  elapsed=3266s  PASS
pilot 99 step  11900  lr=1.99e-03  loss=0.8373  val_acc={1: 1.0, 2: 0.953, 3: 0.961}  elapsed=3293s  PASS
pilot 99 step  12000  lr=1.97e-03  loss=0.7192  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=3320s  PASS
pilot 99 step  12100  lr=1.96e-03  loss=0.8047  val_acc={1: 1.0, 2: 0.977, 3: 0.992}  elapsed=3348s  PASS
pilot 99 step  12200  lr=1.94e-03  loss=0.8286  val_acc={1: 1.0, 2: 0.977, 3: 0.977}  elapsed=3376s  PASS
pilot 99 step  12300  lr=1.93e-03  loss=0.7108  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=3403s  PASS
pilot 99 step  12400  lr=1.91e-03  loss=0.8008  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=3431s  PASS
pilot 99 step  12500  lr=1.90e-03  loss=0.8286  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=3458s  PASS
pilot 99 step  12600  lr=1.88e-03  loss=0.7132  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=3486s  PASS
pilot 99 step  12700  lr=1.87e-03  loss=0.8081  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=3513s  PASS
pilot 99 step  12800  lr=1.85e-03  loss=0.8285  val_acc={1: 1.0, 2: 0.977, 3: 0.977}  elapsed=3541s  PASS
pilot 99 step  12900  lr=1.84e-03  loss=0.7126  val_acc={1: 1.0, 2: 0.992, 3: 0.969}  elapsed=3569s  PASS
pilot 99 step  13000  lr=1.82e-03  loss=0.7978  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=3595s  PASS
pilot 99 step  13100  lr=1.81e-03  loss=0.8305  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=3623s  PASS
pilot 99 step  13200  lr=1.79e-03  loss=0.7297  val_acc={1: 1.0, 2: 0.984, 3: 0.969}  elapsed=3650s  PASS
pilot 99 step  13300  lr=1.78e-03  loss=0.7921  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=3678s  PASS
pilot 99 step  13400  lr=1.76e-03  loss=0.8341  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=3706s  PASS
pilot 99 step  13500  lr=1.75e-03  loss=0.7069  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=3736s  PASS
pilot 99 step  13600  lr=1.73e-03  loss=0.8104  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=3764s  PASS
pilot 99 step  13700  lr=1.72e-03  loss=0.8329  val_acc={1: 1.0, 2: 0.969, 3: 0.992}  elapsed=3792s  PASS
pilot 99 step  13800  lr=1.70e-03  loss=0.7188  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=3818s  PASS
pilot 99 step  13900  lr=1.69e-03  loss=0.8080  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=3845s  PASS
pilot 99 step  14000  lr=1.67e-03  loss=0.8276  val_acc={1: 1.0, 2: 0.969, 3: 0.984}  elapsed=3873s  PASS
pilot 99 step  14100  lr=1.65e-03  loss=0.7143  val_acc={1: 1.0, 2: 0.969, 3: 1.0}  elapsed=3901s  PASS
pilot 99 step  14200  lr=1.64e-03  loss=0.7992  val_acc={1: 1.0, 2: 0.977, 3: 0.984}  elapsed=3927s  PASS
pilot 99 step  14300  lr=1.62e-03  loss=0.8324  val_acc={1: 1.0, 2: 0.977, 3: 1.0}  elapsed=3954s  PASS
pilot 99 step  14400  lr=1.61e-03  loss=0.7160  val_acc={1: 1.0, 2: 0.977, 3: 1.0}  elapsed=3982s  PASS
pilot 99 step  14500  lr=1.59e-03  loss=0.8006  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=4010s  PASS
pilot 99 step  14600  lr=1.58e-03  loss=0.8362  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=4037s  PASS
