[real_seed_r2_2] === real seed 2, Regime 2 (arms=('A', 'B1', 'B2', 'C', 'D')), rank=36, budget=102400 steps ===
[real_seed_r2_2] === pilot 2 start, rank=36, params=67625, cosine LR 0.003->3e-05 over 102400 steps, no early stopping ===
[real_seed_r2_2] pilot 2 step      0  lr=3.00e-03  loss=8.4363  val_acc={1: 0.094, 2: 0.0, 3: 0.0}  elapsed=2s    abstain_loss=0.7774  abstain_class_balance=0.000  abstain_head_acc=0.234
[real_seed_r2_2] pilot 2 step    100  lr=3.00e-03  loss=4.0047  val_acc={1: 1.0, 2: 0.953, 3: 0.797}  elapsed=9s    abstain_loss=0.6567  abstain_class_balance=0.000  abstain_head_acc=0.594
[real_seed_r2_2] pilot 2 step    200  lr=3.00e-03  loss=1.5551  val_acc={1: 1.0, 2: 1.0, 3: 0.969}  elapsed=16s  PASS  abstain_loss=0.1005  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step    300  lr=3.00e-03  loss=0.9284  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=25s  PASS  abstain_loss=0.0224  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step    400  lr=3.00e-03  loss=1.8561  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=33s  PASS  abstain_loss=0.0114  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step    500  lr=3.00e-03  loss=1.1162  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=40s  PASS  abstain_loss=0.0072  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step    600  lr=3.00e-03  loss=1.4471  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=46s  PASS  abstain_loss=0.2250  abstain_class_balance=0.000  abstain_head_acc=0.891
[real_seed_r2_2] pilot 2 step    700  lr=3.00e-03  loss=1.7054  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=57s  PASS  abstain_loss=0.0001  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step    800  lr=3.00e-03  loss=1.0732  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=64s  PASS  abstain_loss=0.0020  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step    900  lr=3.00e-03  loss=0.8122  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=72s  PASS  abstain_loss=0.0047  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   1000  lr=3.00e-03  loss=1.3366  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=80s  PASS  abstain_loss=0.0001  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   1100  lr=3.00e-03  loss=0.9655  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=89s  PASS  abstain_loss=0.0047  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   1200  lr=3.00e-03  loss=0.7884  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=97s  PASS  abstain_loss=0.0037  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   1300  lr=3.00e-03  loss=1.2016  val_acc={1: 1.0, 2: 1.0, 3: 0.961}  elapsed=104s  PASS  abstain_loss=0.0001  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   1400  lr=3.00e-03  loss=0.9205  val_acc={1: 1.0, 2: 1.0, 3: 0.93}  elapsed=113s    abstain_loss=0.0037  abstain_class_balance=0.000  abstain_head_acc=1.000
